Texte;Type d'entité
verbe;O
haut;O
limperieux;O
besoin;O
donner;O
tremblement;O
lentourait;O
fortune;O
lieu;O
labattre;O
lexaspera;O
Ou;B-MISC
soir;O
matin;I-MISC
colere;O
formidable;O
sachant;O
prendre;O
sattaquait;O
mistral;O
ohl;O
surtout;O
Revolutionl;B-PER
entendre;O
vous;O
auriez;I-MISC
jure;O
Revo-;O
lution;O
mis;I-MISC
etait;O
specialement;O
dirigee;O
contre;O
prie;O
croire;O
revolutionnaires;O
netaient;O
odeur;O
saintete;B-LOC
Dieu;B-MISC
sait;O
avons;O
dit;O
messieurs;O
Encore;O
aujourdhui;O
quand;O
vieux;O
papa;O
(;O
conservel;O
);O
sent;O
venir;O
acces;O
goutte;O
setend;O
peniblement;O
sur;O
sa;O
chaise;O
longue;O
lentendons;O
Ohl;O
ln;I-MISC
lepoque;O
dont;O
parle;O
navait;O
douleur;O
personne;O
pouvait;O
approcher;O
fallut;O
saigner;O
quinze;O
Autour;B-MISC
chacun;O
taisait;O
peur;O
demandions;O
pain;I-MISC
voix;O
basse;O
On;O
nosait;I-MISC
devant;O
quil;O
tourne;O
talons;O
ntait;O
quun;I-MISC
sanglot;I-MISC
bout;O
grand;O
labbe;O
lorsquil;B-PER
venait;O
sy;O
mettait;O
cela;O
congoit;O
pleurait;O
MI;B-MISC
malheureux;O
pleuraient;O
plcurer;O
quant;O
trop;O
jeune;O
encore;O
comprendre;O
peine;O
plaisir;I-MISC
Un;B-MISC
singulier;O
enfant;O
voila;O
don;O
larmesl;O
Daussi;B-LOC
loin;O
souvienne;O
vois;O
yeuxLE;O
rouges;O
joue;O
ruisselante;O
Le;B-MISC
nuit;O
classe;O
promenade;O
sans;O
cesse;O
partout;O
Quand;I-PER
disait;O
OQuas;B-MISC
tu;O
repondait;O
sanglotant;O
"
 ";O
nai;O
rien;O
curieux;O
cest;O
mouche;O
Quelquefois;O
exaspere;O
aCet;B-MISC
ridicule;O
regardez;B-LOC
lel;O
fleuve;O
Mme;B-PER
douce;O
Que;I-MISC
veux;O
ami;O
passera;O
grandissant;O
age;O
En;O
attendant;O
grandissait;O
passait;O
contraire;I-MISC
singuliere;O
aptitude;O
quavait;O
etrange;O
garcon;O
repandre;O
raison;O
averses;O
larmes;O
allait;I-MISC
augmentant;O
desolation;O
sangloter;O
aise;O
journees;I-MISC
entieres;O
vint;O
Quas;B-MISC
tun;I-MISC
somme;I-MISC
joli;O
cote;O
Pour;O
part;O
soccupait;O
profitais;I-MISC
parmi;O
deserts;O
sonnaient;O
eglise;O
grandes;O
cours;I-MISC
abandonnees;O
lherbe;O
envahissait;O
deja;O
gros;O
douzaine;O
dannees;O
fort;O
beuf;O
devoue;O
chien;O
bete;I-MISC
oie;O
remarquable;O
chevelure;O
rouge;O
surnom;O
Seulement;B-PER
vais;O
netait;O
tour;O
fidele;O
Vendredi;B-MISC
tribu;O
sauvages;O
equipage;O
revolte;O
quon;O
voulait;O
Moi;B-MISC
mappelais;O
vetu;O
peaux;O
betes;O
aventures;O
master;O
Crusoe;I-MISC
Douce;B-PER
folie;O
l;O
apres;O
souper;O
relisais;O
Robinson;B-MISC
lapprenais;O
ceur;O
jouais;O
rage;O
mentourait;O
lenrolais;O
comedie;O
fle;O
deserte;O
Les;B-MISC
jouaient;O
rOle;B-MISC
dOcean;B-MISC
foret;O
vierge;O
y;O
tas;O
cigales;O
etaient;O
piece;O
savaient;O
non;O
doutait;O
guere;O
limportance;B-PER
role;O
Si;O
demande;O
lauraitLA;I-MISC
embarrasse;O
pourtant;O
tenait;O
emploi;O
conviction;I-MISC
imiter;O
rugissement;O
sau-;O
vages;O
ny;O
-il;O
e;O
lignore;O
Toujours;O
rugissements;O
sauvage;O
chercher;O
gorge;O
agitant;O
forte;O
criniere;O
auraient;O
fremir;O
braves;O
MIoi;O
jen;O
quelquefois;O
bouleverse;O
oblige;O
Pas;O
fais;O
Malheureusement;O
imitait;O
cri;O
savait;O
mieux;O
denfants;O
rue;O
jurer;O
nom;O
Notre-Seigneur;B-PER
jouant;O
jappris;O
faire;O
pleine;O
juron;O
mechappa;O
sais;I-MISC
comment;O
Consternation;B-MISC
generalel;I-MISC
Qui;B-MISC
ta;O
las;I-MISC
entendu;O
n;O
evenement;O
parla;O
suite;O
mettre;O
correction;O
quavant;O
chose;O
confesse;O
puisque;O
javais;O
lage;I-MISC
mena;I-MISC
Grande;O
affairel;O
ramasser;O
coins;O
conscience;O
peches;O
trainaient;O
dormis;O
nuits;O
paneree;O
diables;O
petits;O
dessus;O
mais;O
egal;O
autres;O
voyaient;O
lorsque;O
agenouille;O
petite;O
armoire;O
chenc;O
montrer;O
cure;O
Recollets;O
crus;I-MISC
mourrais;O
confusion;O
voulus;O
savais;O
mainte-;O
nant;O
saint;B-PER
Paul;I-PER
repeta;O
demon;O
rode;O
eternellement;O
autour;O
lion;O
qterens;O
quem;O
deoret;O
querens;O
quelle;O
impression;O
fitl;O
intrigant;O
Lucifer;B-PER
prend;O
visages;O
veut;O
tenter;I-MISC
mauriez;O
ote;O
lidee;O
cache;O
peau;O
mapprendre;B-LOC
premier;O
soin;O
rentrant;O
davertir;O
eut;O
rester;O
dorenavant;O
Infortune;B-PER
Vendredil;B-LOC
Cet;O
ukase;O
creva;O
coeur;O
conforma;O
plainte;O
lapercevais;I-MISC
debout;O
porte;O
loge;O
tristement;O
voyait;I-MISC
regardais;I-MISC
poussait;O
mattendrir;O
effroyables;O
flamboyante;O
plusy;O
LE;O
rugissait;O
tenais;O
trouvais;I-MISC
ressemblait;O
fameux;O
criais;O
Va;B-MISC
tenl;O
horreuro;O
sobstina;O
rugir;O
fatigue;O
domicile;O
lenvoya;O
apprentissage;O
revis;O
enthousiasme;O
nen;I-MISC
instant;O
refroidi;O
juste;O
vers;O
degota;O
subitement;O
perroquet;O
remplaca;O
linstallai;I-MISC
belle;O
cage;O
residence;O
dhiver;O
passant;O
tete;O
interessant;O
volatile;O
cherchant;O
pauvre;O
Robinsonln;B-PER
Comprenez;B-PER
-vous;O
donne;O
debarrasser;O
eternel;O
bavardage;O
parler;O
Robinsonn;B-PER
quautre;O
tirer;O
Malgre;O
laimais;I-MISC
Nous;O
vivions;O
austere;O
solitude;O
lorsquun;O
marriva;O
vraiment;O
extraordinaire;O
quitte;O
cabane;O
bonne;O
heure;O
faisais;O
arme;O
jusquaux;O
dents;O
dexploration;O
travers;O
vis;O
cOote;B-MISC
groupe;O
quatre;O
personnes;O
parlaient;O
haute;O
gesticulaient;O
vivement;O
uste;O
Dieul;B-PER
hommes;O
flel;O
neus;I-PER
jeter;O
derriere;O
bouquet;O
lauriers;O
roses;O
plat;O
ventre;O
plaft;O
passerent;O
pres;O
distinguer;I-MISC
rassura;O
quils;O
furent;O
sortis;O
cachette;O
suivis;O
distance;O
deviendrait;I-MISC
Ces;O
etrangers;O
resterent;O
longtemps;O
ile;O
Ils;O
visiterent;O
entrer;O
grottes;O
sonder;O
leurs;O
cannes;O
profondeur;O
oceans;O
De;B-MISC
ils;O
sarretaient;O
remuaient;O
Toute;O
crainte;O
vinssent;O
decouvrir;O
residences;O
serais;O
-je;O
devenu;O
Heureusement;B-MISC
demi-heure;O
retirerent;O
douter;O
lle;O
habitee;O
Des;I-MISC
partis;O
courus;O
menfermer;O
cabanes;O
passai;O
reste;I-MISC
demander;I-MISC
quels;I-MISC
venus;O
faireL;O
4;O
IZ;O
3;O
t;O
L---;O
IlP;B-ORG
I;B-LOC
L;B-LOC
1;O
1E;B-ORG
s;O
Fe1;O
--;O
"


";O
=;O
ii;O
N;B-LOC
EZEYtt;I-MISC
Lri;O
lx;O
p;O
`;O
y-;O
AI;I-LOC
c;O
"
  

";O
i;O
I-;B-MISC
fi;O
ytP;O
Gei4;O
-3;O
--L;O
r;O
ie;O
L3;B-ORG
" 
";O
z;O
P;B-LOC
-L;I-MISC
essC;B-ORG
-e;O
zallais;O
savoir;O
FABRIOQUE;B-MISC
annongca;O
solennellement;O
vendue;O
partirions;O
Lyon;B-LOC
o;O
allions;O
demeurer;O
desormais;O
sembla;O
ciel;O
croulait;O
venduel;I-MISC
Eh;O
bienl;I-MISC
IIelasl;B-MISC
lfle;O
vendu;O
quitter;O
pleuraisl;O
Pendant;O
tandis;O
qua;O
emballait;O
glaces;O
vaisselle;O
promenais;O
triste;O
seul;O
chere;O
navais;I-MISC
pensez;O
Jallais;B-PER
masseoir;O
regardant;O
objets;O
leur;O
parlais;O
Adieu;B-PER
chers;O
amisln;O
verrons;O
plusln;O
grenadier;O
belles;O
fleurs;O
sepanouissaient;O
dis;O
Donne;B-PER
-moi;O
tes;O
fleursn;O
poitrine;O
Jetais;B-LOC
Pourtant;O
milieu;O
chosces;O
faisaient;O
sourire;O
dabord;O
pensee;O
monter;O
navire;O
permission;O
demporter;O
conditions;O
semblables;O
donnait;O
courage;O
dpart;O
arriva;I-MISC
pris;O
devants;O
meubles;O
compagnie;O
acques;O
partait;O
accompagna;O
jusqua;O
diligence;O
Beaucaire;B-LOC
marchait;O
poussant;O
enorme;O
brouette;O
chargee;O
malles;O
Derriere;B-PER
donnant;O
bras;O
MIon;B-PER
abbe;I-MISC
devais;O
revoirl;O
ensuite;I-MISC
flanquee;B-MISC
parapluic;O
bleu;O
content;O
daller;O
sanglotait;O
ha;O
queue;O
colonne;O
portant;O
retour-;O
fabriqueLE;O
CHIOSE;O
mesure;O
caravane;O
seloignait;O
larbre;O
grenades;O
haussait;O
tant;O
murs;O
agitaient;O
branches;O
signe;O
dadieu;O
emu;O
envoyait;O
baisers;O
furtivement;O
doigts;O
Ie;O
quittai;O
go;O
septembre;O
8LES;O
BABAROTTES;O
O;B-MISC
enfance;O
mavez;O
laisseel;O
semble;O
hier;O
Rh6ne;B-LOC
bateau;O
passagers;O
jentends;O
bruit;O
roues;O
sifflet;O
machine;I-MISC
capitaine;O
sappelait;I-MISC
Genies;I-PER
maftre;O
coq;O
Montelimart;B-PER
noublie;O
traversee;O
pont;I-MISC
descendant;O
salon;O
manger;O
dormir;O
jallais;O
pointe;O
extreme;O
lancre;O
grosse;O
sonnait;O
entrant;I-PER
masseyais;O
cordes;O
posais;O
entre;O
jambes;O
Rhone;B-PER
large;O
rives;O
laurais;O
ft;O
appele;O
merl;O
riait;O
londe;I-MISC
verte;O
barques;O
descendaient;O
fil;O
mariniers;O
gueant;O
dos;O
mules;O
passaient;O
chantant;O
Parfois;O
longeait;O
quelque;O
touffue;O
couverte;O
joncs;O
Nom;O
insectes;O
noirs;O
1Academie;O
appelle;I-MISC
blttes;O
gens;O
Nord;I-LOC
cafardsLE;O
saules;O
deserteln;O
devorais;O
yeux;O
Vers;O
fin;O
troisieme;O
avoir;O
grain;O
assombri;I-MISC
brouillard;O
epais;O
dansait;O
lavant;O
allume;O
lanterne;O
foi;O
presence;O
symptomes;O
commencais;O
etre;I-MISC
quelquun;I-MISC
aVoila;B-MISC
mit;O
sonner;O
Confusement;I-PER
lumieres;O
briller;O
lune;B-LOC
rive;O
passames;O
sous;O
lenorme;O
tuyau;O
courbait;O
crachait;O
torrents;O
fumee;O
noire;O
tousser;O
Sur;B-MISC
remue;O
menage;O
effroyable;O
cherchaient;O
matelots;O
juraient;O
roulant;O
tonneaux;O
1ombre;O
pleuvait;O
hatai;I-MISC
rejoindre;O
serres;O
uns;O
parapluie;O
dAnnou;B-MISC
quc;O
rangeait;O
long;O
quais;O
debarquement;O
com-;O
mencait;O
crois;I-MISC
serions;O
tatons;O
criant;O
vivel;O
viveln;O
connu;O
repon-;O
dimes;O
amisn;O
soulage-;O
ment;O
inexprimable;O
embrassa;O
lestement;O
nain;I-MISC
femmes;O
Suivez;O
moilo;O
route;O
Ahl;O
avancions;I-MISC
glissait;O
heurtait;O
caisses;O
stridente;O
eploree;O
arrive;O
aRobinson;B-PER
Robinsonl;I-MISC
mecriai;O
jessayai;O
degager;O
croyant;O
glisse;O
serra;O
reprit;O
fis;O
nouvel;O
effort;O
criai;O
perroquetn;O
maintenant;O
Sil;O
parlait;O
lentendait;O
lieue;O
Dans;O
monLES;I-MISC
I3;B-PER
trouble;O
lavais;O
oublie;O
mappelait;O
forces;O
criait;O
Depe-;O
chons;O
-nous;O
viendrons;O
demain;O
bateaux;O
segare;O
malgre;O
mentraina;O
Pecairel;B-PER
lendemain;O
trouva;I-MISC
Jugez;B-PER
desespoir;O
perroquetl;O
possible;O
moyen;O
dailleurs;O
meilleure;O
volonte;O
forger;O
quatrieme;O
etage;O
sale;O
humide;O
Lanterne;I-LOC
lhorrible;O
maisonl;O
verrai;O
lescalier;O
gluant;O
cordonnier;O
echope;O
pompe;O
hideux;O
sinstallant;O
cuisine;O
poussa;O
detresse;O
babarottesl;O
accourmes;O
Quel;O
spectaclel;I-MISC
vilaines;I-MISC
credence;O
tiroirs;O
cheminee;O
buffet;O
Sans;O
vouloir;O
ecrasait;O
Pouahl;B-PER
dejh;O
tue;O
elle;O
tuait;O
Elles;O
arrivaient;O
trou;O
levier;O
boucha;O
elles;O
revinrent;O
endroit;O
do;O
chat;O
expres;O
tuer;O
boucherie;O
babarottes;O
firent;O
hair;O
lende-;I-MISC
pis;O
habitudes;O
nouvelles;O
heures;O
repas;O
changees;O
pains;O
forme;O
appelait;O
couronnes;O
noml;O
Chez;O
bouchers;O
carbonade;O
letalier;O
nez;O
carbonaden;O
sauvagel;O
ennuye;O
egayer;O
promener;O
parapluies;O
Instinctivement;B-ORG
dirigions;O
toujours;O
Perrache;B-MISC
aIlLE;I-MISC
rapproche;O
pays;O
languissait;O
promenades;O
lugubres;O
grondait;O
pourquoi;O
honte;O
detre;O
doute;O
parce;O
pauvres;O
Au;B-MISC
tomba;O
brouillards;O
tuaient;O
dut;O
renvoyer;O
Cette;B-LOC
fille;O
aimait;O
passion;O
decider;O
Elle;B-MISC
suppliait;O
gardat;O
promettant;O
mourir;O
lembarquer;O
force;O
Arrivee;B-PER
maria;O
partie;O
parut;I-MISC
comble;O
misere;I-MISC
femme;O
montait;O
ouvrage;O
fourneaux;O
calcinait;O
mains;O
blanches;O
jaimais;O
embrasser;O
provisions;O
Iacques;B-LOC
panier;O
disant;O
Tu;O
acheteras;O
gca;I-MISC
can;B-PER
achetait;O
ca;B-LOC
pleurant;O
Pauvre;B-MISC
Jacquesl;I-PER
larme;O
leil;O
grippe;O
labreuvait;O
taloches;O
entendait;O
es;O
butorl;O
anelo;O
perdait;O
moyens;O
efforts;O
retenir;O
rendaient;O
laid;O
portait;O
malheur;I-MISC
Ecoutez;B-PER
scene;O
cruche;O
sapercoit;O
deau;O
voulez;O
jirai;O
gres;O
hausse;O
epaules;O
va;O
cassee;O
sr;O
entends;O
tranquille;O
attention;O
reprend;O
as;O
beau;O
casser;O
cassera;O
Ici;O
Mais;O
casseLES;O
vcux;O
casses;O
te;O
casseras;O
repond;O
ton;O
nadmet;O
replique;O
fievreuse;O
sort;O
brusquement;O
lair;O
casserai;O
allons;O
Cinq;I-PER
minutes;O
dix;O
passent;O
revient;O
commence;O
tourmenter;O
Pourvu;B-LOC
soit;O
arrivel;O
Parbleul;O
bourru;O
nose;O
rentrer;I-MISC
air;O
meilleur;O
leve;O
ouvrir;O
na;I-MISC
palier;O
vides;O
silencieux;O
petrifie;O
voyant;O
palit;O
navrante;O
faible;O
lai;O
casseen;O
1avait;O
casseel;O
archives;O
appelons;O
environ;O
songerent;O
etudes;O
aurait;O
college;O
cher;O
envoyions;O
manecanterie;O
parait;O
enfants;O
sont;O
idee;O
sourit;O
Saint-Nizier;B-LOC
leglise;O
proche;O
envoya;O
Saint-;B-LOC
Nizier;B-PER
amusant;O
manecanteriel;O
bourrer;O
grec;O
latin;O
institutions;O
apprenait;O
servir;O
messe;O
cOte;B-MISC
chanter;O
antiennes;O
genuflexions;O
encenser;O
elegamment;O
difficile;O
ci;O
consacrees;O
declinaisons;O
l1Epitome;O
ceci;O
quaccessoire;O
Avant;O
lh;O
service;O
Micou;B-PER
prises;O
solennel;O
Demain;B-MISC
matinl;O
sommes;O
denterrement;O
bonheurl;I-MISC
Puis;O
cetaient;O
baptemes;O
mariages;O
visite;O
Monseigneur;B-PER
viatique;O
viatiquel;O
fier;O
onLE;B-PER
laccompagner;O
Sous;B-MISC
dais;O
velours;O
pretre;O
lhostie;O
saintes;O
huiles;O
Deux;O
cheur;O
soutenaient;O
lescortaient;O
falots;O
dores;O
cinquieme;O
crecelle;O
Dordinaire;B-MISC
fonctions;O
passage;O
decouvraient;O
signaient;O
poste;O
sentinelle;O
Aux;O
armesln;O
soldats;O
accouraient;O
mettaient;O
rang-;O
Presentez;B-LOC
armesl;O
genou;O
terrel;O
lofficier;O
fusils;O
tambour;O
battait;O
champs;O
Jagitais;B-LOC
Sanctus;B-LOC
passions;O
Chacun;B-MISC
fourniment;O
complet;O
decclesiastique;O
soutane;O
aube;O
surplis;B-LOC
manches;O
raides;O
dempois;O
soie;O
calottes;O
drap;O
rabats;O
bordes;O
petites;O
perles;O
costume;O
mallait;O
aIl;O
croquer;O
dessous;O
Malheureu-;B-LOC
sement;O
desesperait;O
Figurez;I-PER
haussant;O
montais;O
blancs;O
Caduffe;I-PER
suisse;O
frelel;O
changeant;O
Evangiles;B-LOC
place;O
livre;O
lourd;O
tombai;O
marches;O
lautel;B-PER
pupitre;O
brise;O
interrompu;O
Pentecote;B-MISC
scandalel;I-MISC
legers;O
inconvenients;O
couchant;O
disions;O
manecanterien;O
Par;O
restames;O
recteur;O
duniversite;O
ecrivit;O
bourse;O
dexterne;O
pourrait;O
sera;O
acquesl;O
utile;O
Dailleurs;O
mapergcois;O
gout;O
ferons;O
negociant;O
pu;O
saper-;O
cevoir;O
got;O
laI;I-MISC
lF-;I-MISC
g;O
IMt;B-PER
f;O
-l;O
ks-;O
E;O
Li-;B-ORG
Il-;I-ORG
elh;I-ORG
tE;I-ORG
%;O
"


 ";O
IM1;B-PER
k;O
S;B-PER
---;I-LOC
--e;O
C;I-MISC
"
 
";I-ORG
rE;I-MISC
xMi;O
/;O
-s;O
d;O
NO;B-ORG
5;O
F;I-MISC
-----;O
lLE;O
tA;I-ORG
tY;I-MISC
//;I-MISC
1/;O
rat-;O
Z;I-ORG
k--;B-ORG
];O
lLs-;I-PER
tl;O
"
  ";O
"



";O
W;B-MISC
NNN;B-ORG
Ih1;O
"

 ";O
Y;B-ORG
N-;B-MISC
c-;I-MISC
Xc-;B-ORG
3-;O
r-;O
31LES;O
consulte;O
consulta;O
ni;O
frappa;O
blouse;O
riches;O
portent;O
blouses;O
gones;O
carreaux;O
datait;O
gone;B-PER
jentrai;O
eleves;O
ricanerent;O
Tiensl;B-PER
blouseln;O
professeur;O
fit;O
grimace;O
aversion;O
Depuis;O
lors;O
levres;O
meprisant;O
Jamais;O
mappela;O
Hel;O
Choseln;B-ORG
Ey;I-PER
sset;I-PER
cama-;O
rades;O
surnommerent;O
ale;O
Chose;B-PER
distinguait;O
avaient;O
beaux;O
cartables;O
cuir;O
jaune;O
encriers;I-MISC
buis;B-LOC
sentaient;O
cahiers;O
cartonnes;O
livres;O
neufs;O
notes;O
bouquins;O
achetes;O
moisis;O
fanes;O
sentant;O
rance;O
couvertures;O
lambeaux;O
manquait;O
pages;O
relier;O
carton;O
colle;O
puait;O
cartable;O
infinite;O
poches;O
coller;O
cartonner;O
manie;O
constamment;O
pots;O
sechapper;O
magasin;O
collait;O
reliait;O
cartonnait;O
paquets;O
ecrivait;O
dictee;O
Quant;B-MISC
compris;O
lorsquon;B-LOC
boursier;O
sappelle;O
faut;O
travailler;O
foil;I-MISC
Brave;B-PER
Chosel;B-MISC
hiver;O
chambre;O
assis;O
travail;O
enveloppees;O
couverture;O
dehors;O
givre;I-MISC
fouettait;O
vitres;I-MISC
dictait;O
regu;I-PER
votre;O
honoree;O
courant;O
pleurarde;O
reprenait;O
Jai;B-PER
recu;O
souvrait;O
doucement;O
entrait;O
sapprochait;O
pieds;O
Chutl;B-PER
travailles;O
Oui;I-PER
nas;B-PER
froid;O
OhI;B-ORG
nonl;B-MISC
mentait;O
Alors;O
sasseyait;O
aupres;O
tricot;O
restait;I-MISC
longues;O
comptant;O
mailles;O
soupir;O
MP;B-PER
Eyssettel;B-ORG
pensait;I-MISC
nesperait;O
revoir;O
Helasl;O
bientotIII;B-MISC
IL;B-ORG
EST;O
MORT1;B-ORG
PRIEZ;I-ORG
POUR;O
LUII;O
lundi;O
juillet;O
sortant;O
metais;I-MISC
laisse;O
entrainer;O
barres;O
decidai;O
tard;O
naurais;O
Terreaux;I-MISC
marreter;O
ceinture;O
casquette;O
Toutefois;O
pre;O
repris;O
haleine;O
minute;O
lesca-;O
lier;O
dinventer;O
histoire;O
expliquer;O
retard;O
sonnai;I-MISC
bravement;O
mouvrir;O
aComme;B-MISC
viens;O
debiter;O
mensonge;I-MISC
tremblant;O
achever;O
mattirant;O
membrassa;O
longuement;O
silencieusement;O
mattendais;I-MISC
semonce;O
accueil;O
surprit;O
IMa;B-ORG
premiere;O
avions;O
diner;O
experience;O
salle;O
trompe;I-MISC
couverts;O
celui;I-MISC
mien2o;B-ORG
demandai;O
etonne;O
repondit;O
habituelle;O
Ta;O
pale;O
ajouta;O
presque;O
rassurer;O
fagon;O
ecrit;O
labb;O
lit;O
connais;O
nc;I-MISC
rienl;O
mets;O
toi;O
mangeons;I-MISC
meurs;O
faim;O
mattablai;O
cceur;O
serre;O
lcs;O
peines;O
pensant;O
dinames;I-MISC
face;O
lun;O
1autre;O
mangeait;O
vite;O
buvait;O
coups;O
sarretait;O
songeait;O
frappe;I-MISC
stupeur;O
rappelais;O
histoires;O
contait;O
voyais;B-LOC
retroussant;I-MISC
franchir;O
souvenais;I-MISC
assistait;O
tournait;O
ouverts;O
Domninus;B-PER
vobiscun;O
joiel;O
figurais;O
couchd;I-LOC
redoublait;O
chagrin;O
jentendais;O
crier;O
cur;O
punit;O
fautel;O
droitl;O
mentirln;O
plein;O
punir;O
deseprait;O
jouerai;O
termine;O
alluma;O
lampe;O
veillee;O
commenga;O
nappe;I-MISC
debris;O
dessert;O
pose;O
comptes;O
Finet;B-MISC
miaulait;O
rodant;O
ouvert;O
fenetre;O
my;I-MISC
etais;O
accoude;O
den;B-PER
causer;O
tambours;O
Loyasse;B-LOC
battre;O
lointain;O
instants;O
desIL;O
MORT;B-ORG
LUIl;B-MISC
tristes;O
vaguement;O
violent;O
sonnette;O
marracha;O
croisee;O
regardai;O
effroi;I-MISC
passer;O
visage;O
frisson;O
dangoisse;O
terreur;O
menvahir;O
sonnel;I-MISC
Restez;B-PER
perel;O
jy;O
melangai;O
seuil;O
lentrevis;O
lombre;O
mc;O
tendant;O
jhesitais;O
depeche;O
frissonnant;O
repoussais;O
lhomme;O
retint;B-LOC
pied;O
froidement;O
signer;O
signerl;B-PER
recevais;O
cria;O
tremblait;O
repondis;O
Rienl;B-PER
faisant;O
mattendre;O
trempai;O
plume;I-MISC
danslencre;O
revins;O
Lhomme;B-PER
Signez;O
signa;O
tremblante;O
lueur;O
lampes;O
ferma;O
rentra;O
tenant;O
cachde;O
oui;O
cachee;I-PER
malheurl;O
voulais;O
